code;economy;year;financing;gov_support;taxes_bureaucracy;gov_programs;basic_school_entrepreneurship;post_school_entrepreneurship;rd_transfer;commercial_professional_infraestruture;internal_market_dynamics;internal_market_openess;physical_infrastructure;cultural_social_norms
55;Brazil;2020;2.73;2.36;1.85;2.56;1.94;2.73;2.16;2.79;3.73;2.55;3.40;2.89
56;Chile;2020;2.17;2.54;2.78;3.02;1.82;2.81;2.40;2.82;2.66;2.23;3.99;3.05
57;Colombia;2020;2.38;2.70;2.19;2.81;2.35;3.68;2.56;2.85;2.99;2.78;3.42;3.32
52;Mexico;2020;2.45;1.98;2.23;2.33;1.92;3.47;2.43;2.72;2.99;2.48;3.47;3.11
55;Brazil;2019;2.93;2.50;1.87;2.56;1.78;2.67;2.25;2.82;3.44;2.49;3.23;2.47
56;Chile;2019;2.42;2.88;2.85;3.24;1.85;2.92;2.41;2.70;2.58;2.51;4.21;3.13
57;Colombia;2019;2.23;2.97;2.16;2.77;2.11;3.25;2.35;2.52;2.75;2.55;3.30;2.88
261;Mexico;2019;2.60;2.55;2.38;2.75;2.20;3.46;2.67;2.91;2.90;2.77;3.94;3.50
55;Brazil;2018;2.92;1.78;1.45;2.08;1.54;2.46;2.12;2.69;3.46;2.20;3.22;2.10
56;Chile;2018;2.35;3.14;2.85;3.38;1.47;3.03;2.25;2.47;2.63;2.26;4.28;3.23
57;Colombia;2018;1.97;2.31;2.26;2.74;2.10;3.42;2.06;2.59;2.46;2.48;3.75;3.21
52;Mexico;2018;2.41;2.74;2.30;3.05;1.88;3.48;2.54;2.69;3.34;2.24;3.95;3.38
55;Brazil;2017;2.59;1.87;1.58;1.95;1.46;2.42;1.84;2.58;3.66;2.20;3.13;2.19
56;Chile;2017;2.18;2.49;2.77;3.08;1.58;2.73;2.09;2.53;2.50;2.37;4.21;3.02
57;Colombia;2017;2.15;2.36;2.03;2.66;2.24;3.37;2.29;2.85;2.67;2.53;3.67;3.40
52;Mexico;2017;2.60;3.18;2.40;3.20;1.59;3.53;2.62;2.99;2.76;2.39;3.87;2.95
55;Brazil;2016;2.65;2.11;1.49;2.06;1.42;2.42;1.84;2.70;3.42;2.23;2.80;2.34
56;Chile;2016;2.14;2.60;2.86;3.05;1.48;2.94;2.41;3.00;2.25;2.40;4.41;3.03
57;Colombia;2016;2.22;2.56;2.23;2.77;1.78;3.26;2.15;2.54;2.78;2.34;3.60;3.43
52;Mexico;2016;2.44;2.57;2.35;2.94;1.97;3.20;2.50;2.83;2.80;2.51;3.88;3.12
55;Brazil;2015;2.36;2.20;1.53;2.07;1.42;2.33;1.79;2.52;3.04;2.09;2.88;2.38
56;Chile;2015;2.16;2.83;3.21;3.29;1.52;2.96;2.09;2.81;2.04;2.33;4.39;3.10
57;Colombia;2015;1.92;2.31;2.10;2.62;1.77;3.21;2.06;2.49;2.42;2.50;3.63;3.12
52;Mexico;2015;2.47;2.83;2.29;3.02;1.61;3.33;2.46;2.83;3.25;2.18;3.76;3.03
55;Brazil;2014;2.46;2.40;1.46;2.24;1.48;2.54;2.00;2.50;3.36;2.24;2.93;2.36
56;Chile;2014;2.35;2.77;2.91;3.06;1.63;2.98;2.20;2.80;2.18;2.57;4.33;3.09
57;Colombia;2014;2.37;2.75;2.41;2.95;2.14;2.97;2.17;2.79;2.70;2.55;3.38;2.97
52;Mexico;2014;2.20;2.27;1.87;2.69;2.00;3.12;2.44;2.64;2.81;2.21;3.29;2.99
55;Brazil;2013;2.34;2.50;1.68;2.28;1.55;2.41;2.00;2.35;3.02;2.13;3.04;2.74
56;Chile;2013;2.47;3.44;3.23;3.06;1.73;2.71;2.23;2.67;2.40;2.28;4.17;2.83
57;Colombia;2013;2.26;2.83;2.59;2.99;2.26;3.19;2.37;2.83;2.89;2.77;3.32;3.09
52;Mexico;2013;2.38;3.03;2.24;3.06;1.96;3.25;2.60;2.72;2.51;2.39;3.86;3.08
55;Brazil;2012;2.42;2.30;1.62;2.28;1.57;2.41;1.98;2.54;3.42;2.22;2.99;2.66
56;Chile;2012;2.29;3.07;2.97;2.97;1.96;3.01;2.15;2.74;2.51;2.48;4.07;2.89
57;Colombia;2012;2.32;3.11;2.57;2.96;2.47;3.15;2.52;2.78;2.50;2.61;3.15;3.04
52;Mexico;2012;2.04;2.50;1.93;2.89;1.72;2.96;2.27;2.77;2.54;2.14;3.58;2.96
55;Brazil;2011;2.43;2.21;1.52;2.42;1.56;2.57;2.18;2.57;3.50;2.26;3.17;2.60
56;Chile;2011;2.42;3.09;2.84;2.79;1.78;2.72;2.27;2.87;2.41;2.47;4.07;2.93
57;Colombia;2011;1.96;2.66;2.12;2.54;2.14;3.23;2.06;2.44;2.62;2.14;3.00;2.78
52;Mexico;2011;2.26;2.68;2.39;2.87;1.86;3.13;2.33;2.54;2.69;2.22;3.47;3.01
55;Brazil;2010;2.47;2.13;1.43;2.33;1.45;2.40;2.29;2.60;3.81;2.21;3.39;2.63
56;Chile;2010;2.42;2.64;2.51;2.57;1.60;2.84;2.18;2.72;2.40;2.45;3.91;2.57
57;Colombia;2010;2.30;2.71;2.67;2.98;2.18;3.45;2.29;2.90;2.35;2.82;3.61;3.13
52;Mexico;2010;2.76;3.19;2.25;3.11;2.15;3.58;2.60;2.96;2.78;2.52;3.70;3.31
